"id","resolution_date","source","Type","resolved_to","resolved","SPF_forecast","SPF_bs","Pub_forecast","Pub_bs","question","gpt_score","sonnet_score","deepseek_score","mean_z","LLM_typical_binary","LLM_typical_3"
"KtGRsTouYWiDPaPhRC3o","2024-07-27","manifold","Market",0,TRUE,0.0275,0.00075625,0.175,0.030625,"Will an artificial intelligence system play a major artistic role in the 2024 Olympic opening ceremonies?",10,2,3,-1.11308063560459,"Atypical","Atypical"
"4puVWhIkvQiHnTxbH4NL","2024-09-13","manifold","Market",0,TRUE,0.975,0.950625,0.95,0.9025,"Will Apple’s next iPhone (2024) include an on-device LLM “ChatBot”?",9,7,5,-0.306822325647727,"Atypical","Borderline"
"PNVVTlruggno0Yw5tjVS","2024-08-05","manifold","Market",1,TRUE,0.97,0.000900000000000002,0.55,0.2025,"Will Kamala Harris be the Democratic Nominee for President in 2024?",2,8,8,-0.680539443987003,"Atypical","Atypical"
"0750nMx1Fqq4CWdoBHdX","2025-01-01","manifold","Market",0,TRUE,0.01,1e-04,0.1,0.01,"Will the OpenAI board fire Sam Altman again in 2024?",2,0,5,-2.13909346486038,"Atypical","Atypical"
"20895","2024-12-31","metaculus","Market",0,TRUE,0.05,0.0025,0.25,0.0625,"Will Russia start a second mobilization wave before 2025, according to the Institute for the Study of War?",10,7,8,0.122317950074321,"Typical","Borderline"
"17179","2024-12-31","metaculus","Market",0,TRUE,0,0,0.05,0.0025,"Will an infrastructure disaster costing >$1B in a G20 country be widely attributed to an AI cyberattack before 2025?",3,2,5,-1.73387747107965,"Atypical","Atypical"
"17432","2025-06-30","metaculus","Market",0,TRUE,0,0,0.05,0.0025,"Will an AI system solve one of the remaining Millennium Prize Problems before July 2025?",8,7,5,-0.425112371642043,"Atypical","Borderline"
"6427","2024-12-31","metaculus","Market",1,TRUE,0.9,0.01,0.55,0.2025,"Will GB News be broadcasting in 2025?",8,8,8,0.0292008319788946,"Typical","Borderline"
"7664","2024-07-25","metaculus","Market",1,TRUE,0.8,0.04,0.8,0.04,"Will USA top the Olympic Medal Table at Paris 2024?",9,10,8,0.434416825759623,"Typical","Borderline"
"17180","2024-12-31","metaculus","Market",0,TRUE,0.05,0.0025,0.35,0.1225,"Will a politician claim they lost a major election due to a ""deepfake"" image, video, or audio recording in a G20 country before 2025?",8,3,8,-0.688114037487135,"Atypical","Atypical"
"2577","2025-01-01","metaculus","Market",0,TRUE,0,0,0.06,0.0036,"Will Scotland leave the United Kingdom before 2025?",8,8,5,-0.281649397748837,"Atypical","Borderline"
"1386","2025-04-01","infer","Market",0,TRUE,0.575,0.330625,0.61,0.3721,"Will a North American testing center (OTIC) issue an O-RAN Certificate between 1 April 2024 and 31 March 2025?",6,3,5,-1.2355443592035,"Atypical","Atypical"
"1373","2025-01-01","infer","Market",0,TRUE,0.58,0.3364,0.7,0.49,"Will at least five more exoplanets be found to be potentially habitable between 1 February 2024 and 31 December 2024?",8,7,8,-0.114262141914311,"Atypical","Borderline"
"1363","2025-07-01","infer","Market",0,TRUE,0.00475,2.25625e-05,0.1,0.01,"Will Myanmar hold national elections before 1 July 2025?",8,7,8,-0.114262141914311,"Atypical","Borderline"
"1399","2025-01-11","infer","Market",1,TRUE,0.905,0.00902499999999999,0.95,0.0025,"Will Nicolás Maduro be president of Venezuela on 11 January 2025?",8,8,8,0.0292008319788946,"Typical","Borderline"
"1353","2024-12-01","infer","Market",0,TRUE,0.25,0.0625,0.5,0.25,"Will there be an agreed-upon pause in the conflict between Israel and Hamas that starts before 1 December 2024 and lasts at least 30 days?",3,7,5,-1.01656260161362,"Atypical","Atypical"
"1286","2025-01-01","infer","Market",0,TRUE,0.02,4e-04,0.05,0.0025,"By 31 December 2024, will uranium enriched to 90% or more be discovered in an Iranian facility, according to the IAEA?",9,8,5,-0.163359351754521,"Atypical","Borderline"
"1374","2024-08-02","infer","Market",1,TRUE,0.7,0.09,0.75,0.0625,"Will Iran be impacted by a cyberattack targeting critical infrastructure between 27 February 2024 and 1 March 2025?",6,7,8,-0.350842233902944,"Atypical","Borderline"
"1285","2025-01-01","infer","Market",0,TRUE,0.01,1e-04,0.1,0.01,"Will a JCPOA participant country begin the process of imposing “snapback” sanctions on Iran by 31 December 2024?",3,7,8,-0.705712371885893,"Atypical","Atypical"
"1413","2025-07-01","infer","Market",0,TRUE,0.01,1e-04,0.02,4e-04,"Will Vladimir Putin cease to be the president of the Russian Federation before 1 July 2025?",2,8,5,-0.991389673714735,"Atypical","Atypical"
"1342","2025-01-01","infer","Market",0,TRUE,0.01,1e-04,0.05,0.0025,"Will the Houthi movement and Yemen reach a ceasefire that is in effect on 31 December 2024 and lasts at least six months?",8,7,8,-0.114262141914311,"Atypical","Borderline"
"0x2c1d8f3388f56e1641a57eec4d7645cb1dccb42054cf0d6aacc7e353d778b4f1","2025-03-01","polymarket","Market",1,TRUE,0.93,0.00489999999999999,0.75,0.0625,"Will 2024 be the hottest year on record?",9,10,10,0.641650312244777,"Typical","Typical"
"0x573dfc705c8f4250064b3ad30d2cc43397f16c9fc5b343473c860bbd04d7a3ca","2024-12-01","polymarket","Market",1,TRUE,0.28,0.5184,0.2,0.64,"Will there be between 16 and 20 named storms during Atlantic Hurricane Season?",10,10,5,0.241856642026207,"Typical","Borderline"
"0x31a5dcf98ab184ef2c167c7daaca2155242d61f841cb9ac9615f1e03c77b7732","2024-12-01","polymarket","Market",0,TRUE,0.16,0.0256,0.5,0.25,"Will there be more than 25 named storms during Atlantic Hurricane Season?",9,8,8,0.147490877973211,"Typical","Borderline"
"0xa4855d0b28960be4824c31c280d274572e176313d8efda21446cabe6bdc32efc","2024-12-01","polymarket","Market",0,TRUE,0.41,0.1681,0.42,0.1764,"Will there be between 21 and 25 named storms during Atlantic Hurricane Season?",7,9,5,-0.256476469849947,"Atypical","Borderline"
"0xa8b22d7d3402b9823aca8ba68fa9beee749049bf67b8efa0935fcb8963d5d357","2024-12-01","polymarket","Market",0,TRUE,0.06,0.0036,0.275,0.075625,"Will there be less than 16 named storms during Atlantic Hurricane Season?",8,10,5,0.00527655003757476,"Typical","Borderline"
"0x438883974dfc3b261a0826c47f3f54329e9632314f85e5950b85f57d9e490363","2024-09-04","polymarket","Market",0,TRUE,0,0,0.05,0.0025,"Will Belichick head coach the Eagles in the 2024-25 NFL season?",8,8,5,-0.281649397748837,"Atypical","Borderline"
"0xb3a14c854a91cc1d57bb4ed3ce1f74a1c3a08b9d6316f30874bda08e90fa663e","2024-09-04","polymarket","Market",0,TRUE,0.01,1e-04,0.05,0.0025,"Will Belichick head coach another team in the 2024-25 NFL season?",2,8,8,-0.680539443987003,"Atypical","Atypical"
"0x154efa11ed56deca4d0d06adf2bb711a420f5128f2a274be0d6631ed4380ca78","2024-12-30","polymarket","Market",1,TRUE,0.455,0.297025,0.5,0.25,"Will four SpaceX Starship launches successfully reach outer space in 2024?",6,8,5,-0.51822948973747,"Atypical","Atypical"
"0x60752c2a562d7faff00a82238520a13a9a5a5ee2927afd397d224dc54361afd6","2024-08-08","polymarket","Market",1,TRUE,1,0,0.9,0.01,"Tesla Robotaxi unveiling delayed?",5,7,8,-0.46913227989726,"Atypical","Borderline"
"0xf5875410202b3545491774ab5e712a6e05a0ffe780c52270cc8d70cc95164411","2024-08-10","polymarket","Market",0,TRUE,0,0,0.45,0.2025,"[Single Market] Will Joe Biden win the U.S. 2024 Democratic presidential nomination?",9,8,10,0.354724364458365,"Typical","Borderline"
"0x63634b4e14297a748923f86dca4fa0c6c659db0f5fadeeb8e419e48e20759c34","2024-11-05","polymarket","Market",0,TRUE,0,0,0.02,4e-04,"Will Hillary Clinton win the 2024 US Presidential Election?",9,8,0,-0.681443067967407,"Atypical","Atypical"
"0x5cd8bb97af43191779906af4e624fd87eb2a07bcdb19a22b8f0943cc20dca848","2024-11-05","polymarket","Market",0,TRUE,0,0,0.01,1e-04,"Will a candidate from another party win Washington DC Presidential Election?",10,10,10,0.759940358239093,"Typical","Typical"
"0x7e912d337aec54d321a4d415bd05e5a6676c3f04617f07def1281be7e0af3e91","2024-09-10","polymarket","Market",0,TRUE,0,0,0.01,1e-04,"[Single Market] Will Joe Rogan win the U.S. 2024 Republican presidential nomination?",10,10,0,-0.276227074186679,"Atypical","Borderline"
"0x0784ce77446e73c456f7ea8216108ce3a2673488aba71afdaadb0939324b4c59","2024-12-31","polymarket","Market",0,TRUE,0.04,0.0016,0.05,0.0025,"James Norton announced as next James Bond?",1,7,10,-0.735058977389371,"Atypical","Atypical"
"0xea3b3876ef2d1777f4320c79e9fb08cd4dbea4f174403995b8884f34aa5d76c9","2024-12-31","polymarket","Market",0,TRUE,0.0075,5.625e-05,0.07,0.0049,"Damson Idris announced as next James Bond?",1,7,3,-1.46037618008741,"Atypical","Atypical"
"0xd9773233f3dd345b0cf99b4338e9663dee025c76bcdae2d8f11efb4327a3566d","2024-12-31","polymarket","Market",0,TRUE,0.1,0.01,0.1,0.01,"No Eigenlayer token launch in 2024?",8,7,5,-0.425112371642043,"Atypical","Borderline"
"0x4ac4849343a847d75cff15174a139ef9c4bc89bdb8c8bcdd7bee61204912d549","2024-12-31","polymarket","Market",0,TRUE,0.1,0.01,0.4,0.16,"GPT-5 announced in Q4 2024?",2,7,0,-1.65293636382083,"Atypical","Atypical"
"0xa05e93dbcfefc56ee0ab0151512dccaae63840650eaae9ed8a89d5dcbe238f22","2024-12-31","polymarket","Market",1,TRUE,0.99,1e-04,0.9,0.01,"Will Satoshi Nakamoto's identity not be proven in 2024?",7,8,5,-0.399939443743153,"Atypical","Borderline"
"0x122678509891ed9fe0b9ad7ff7a71a1a36aad334d9eae2d5421648b511371df1","2024-12-31","polymarket","Market",1,TRUE,1,0,0.43,0.3249,"Will POPCAT reach $1b first?",5,7,5,-0.779982509624992,"Atypical","Atypical"
"0xc8081f7c63082b34b1b2497f339c291e00587e8800b48db8096fbe763c2be31c","2024-12-31","polymarket","Market",0,TRUE,0,0,0.5,0.25,"Will another cat memecoin reach $1b first?",3,3,5,-1.59041449718645,"Atypical","Atypical"
"0x81bb9ebd9312790810d3d40ee6545d97a8cbaee3233959b3e2bb4c37604e5e82","2024-11-05","polymarket","Market",0,TRUE,0.001,1e-06,0.15,0.0225,"Will a Democrat win Vermont Governor Election?",9,8,10,0.354724364458365,"Typical","Borderline"
"0xfe495172d67c0bd95c8c62b9a9f9815b6e35d9653e5a1f4f8c1abb051e4f3638","2024-11-05","polymarket","Market",0,TRUE,0,0,0.035,0.001225,"Will a candidate from another party win Massachusetts Presidential Election?",10,8,10,0.473014410452681,"Typical","Borderline"
"45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6","2024-07-28","acled","Data",0,TRUE,0,0,0.05,0.0025,"Will there be more than ten times as many fatalities in Niue for the 30 days before 2024-07-28 compared to one plus the 30-day average of fatalities over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,fatalities
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of fatalities over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more fatalities would need to occur in the 30 days leading up to the resolution.",10,2,10,-0.453702874923366,"Atypical","Borderline"
"45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6","2024-08-20","acled","Data",0,TRUE,0,0,0.07,0.0049,"Will there be more than ten times as many fatalities in Niue for the 30 days before 2024-08-20 compared to one plus the 30-day average of fatalities over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,fatalities
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of fatalities over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more fatalities would need to occur in the 30 days leading up to the resolution.",9,3,10,-0.453702874923366,"Atypical","Borderline"
"45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6","2024-10-19","acled","Data",0,TRUE,0,0,0.08,0.0064,"Will there be more than ten times as many fatalities in Niue for the 30 days before 2024-10-19 compared to one plus the 30-day average of fatalities over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,fatalities
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of fatalities over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more fatalities would need to occur in the 30 days leading up to the resolution.",9,2,10,-0.453702874923366,"Atypical","Borderline"
"45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6","2025-01-17","acled","Data",0,TRUE,0,0,0.08,0.0064,"Will there be more than ten times as many fatalities in Niue for the 30 days before 2025-01-17 compared to one plus the 30-day average of fatalities over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,fatalities
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of fatalities over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more fatalities would need to occur in the 30 days leading up to the resolution.",9,2,10,-0.453702874923366,"Atypical","Borderline"
"45db5d06a001a6fa62eb9b23236adab43c56970d70a833ca206fa42a57f4b7e6","2025-07-21","acled","Data",0,TRUE,0,0,0.09,0.0081,"Will there be more than ten times as many fatalities in Niue for the 30 days before 2025-07-21 compared to one plus the 30-day average of fatalities over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,fatalities
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of fatalities over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more fatalities would need to occur in the 30 days leading up to the resolution.",9,2,10,-0.453702874923366,"Atypical","Borderline"
"5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09","2024-07-28","acled","Data",0,TRUE,0.055,0.003025,0.1,0.01,"Will there be more 'Strategic developments' in Bosnia and Herzegovina for the 30 days before 2024-07-28 compared to the 30-day average of 'Strategic developments' over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Strategic developments'
2023-11-11,1
2023-10-10,2
to calculate the 30-day average of 'Strategic developments' over the preceding 360 days, we’d have: (1+2)/12=0.25.

In this example, for the question to resolve positively, 1 or more 'Strategic developments' would need to occur in the 30 days leading up to the resolution.",9,8,10,0.354724364458365,"Typical","Borderline"
"5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09","2024-08-20","acled","Data",1,TRUE,0.155,0.714025,0.1,0.81,"Will there be more 'Strategic developments' in Bosnia and Herzegovina for the 30 days before 2024-08-20 compared to the 30-day average of 'Strategic developments' over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Strategic developments'
2023-11-11,1
2023-10-10,2
to calculate the 30-day average of 'Strategic developments' over the preceding 360 days, we’d have: (1+2)/12=0.25.

In this example, for the question to resolve positively, 1 or more 'Strategic developments' would need to occur in the 30 days leading up to the resolution.",9,8,10,0.354724364458365,"Typical","Borderline"
"5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09","2024-10-19","acled","Data",1,TRUE,0.16,0.7056,0.15,0.7225,"Will there be more 'Strategic developments' in Bosnia and Herzegovina for the 30 days before 2024-10-19 compared to the 30-day average of 'Strategic developments' over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Strategic developments'
2023-11-11,1
2023-10-10,2
to calculate the 30-day average of 'Strategic developments' over the preceding 360 days, we’d have: (1+2)/12=0.25.

In this example, for the question to resolve positively, 1 or more 'Strategic developments' would need to occur in the 30 days leading up to the resolution.",10,8,10,0.354724364458365,"Typical","Borderline"
"5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09","2025-01-17","acled","Data",1,TRUE,0.35,0.4225,0.18,0.6724,"Will there be more 'Strategic developments' in Bosnia and Herzegovina for the 30 days before 2025-01-17 compared to the 30-day average of 'Strategic developments' over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Strategic developments'
2023-11-11,1
2023-10-10,2
to calculate the 30-day average of 'Strategic developments' over the preceding 360 days, we’d have: (1+2)/12=0.25.

In this example, for the question to resolve positively, 1 or more 'Strategic developments' would need to occur in the 30 days leading up to the resolution.",9,8,10,0.354724364458365,"Typical","Borderline"
"5713f8a61c04fa270a3a9e1791e4d9b5fa8e0d1cc1c1c232aef84d80c5b89c09","2025-07-21","acled","Data",0,TRUE,0.16,0.0256,0.16,0.0256,"Will there be more 'Strategic developments' in Bosnia and Herzegovina for the 30 days before 2025-07-21 compared to the 30-day average of 'Strategic developments' over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Strategic developments'
2023-11-11,1
2023-10-10,2
to calculate the 30-day average of 'Strategic developments' over the preceding 360 days, we’d have: (1+2)/12=0.25.

In this example, for the question to resolve positively, 1 or more 'Strategic developments' would need to occur in the 30 days leading up to the resolution.",8,8,10,0.354724364458365,"Typical","Borderline"
"ccda7990a2565cabd7c375a036751bd3b953b8bed45d859010919cd3a84d7e78","2024-07-28","acled","Data",0,TRUE,0,0,0.05,0.0025,"Will there be more than ten times as many 'Violence against civilians' in Montenegro for the 30 days before 2024-07-28 compared to one plus the 30-day average of 'Violence against civilians' over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Violence against civilians'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Violence against civilians' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Violence against civilians' would need to occur in the 30 days leading up to the resolution.",9,8,10,0.402040382856092,"Typical","Borderline"
"ccda7990a2565cabd7c375a036751bd3b953b8bed45d859010919cd3a84d7e78","2024-08-20","acled","Data",0,TRUE,0,0,0.07,0.0049,"Will there be more than ten times as many 'Violence against civilians' in Montenegro for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Violence against civilians' over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Violence against civilians'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Violence against civilians' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Violence against civilians' would need to occur in the 30 days leading up to the resolution.",10,8,10,0.402040382856092,"Typical","Borderline"
"ccda7990a2565cabd7c375a036751bd3b953b8bed45d859010919cd3a84d7e78","2024-10-19","acled","Data",0,TRUE,0.005,2.5e-05,0.1,0.01,"Will there be more than ten times as many 'Violence against civilians' in Montenegro for the 30 days before 2024-10-19 compared to one plus the 30-day average of 'Violence against civilians' over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Violence against civilians'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Violence against civilians' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Violence against civilians' would need to occur in the 30 days leading up to the resolution.",9,8,10,0.402040382856092,"Typical","Borderline"
"ccda7990a2565cabd7c375a036751bd3b953b8bed45d859010919cd3a84d7e78","2025-01-17","acled","Data",0,TRUE,0.01,1e-04,0.1,0.01,"Will there be more than ten times as many 'Violence against civilians' in Montenegro for the 30 days before 2025-01-17 compared to one plus the 30-day average of 'Violence against civilians' over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Violence against civilians'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Violence against civilians' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Violence against civilians' would need to occur in the 30 days leading up to the resolution.",9,8,10,0.402040382856092,"Typical","Borderline"
"ccda7990a2565cabd7c375a036751bd3b953b8bed45d859010919cd3a84d7e78","2025-07-21","acled","Data",0,TRUE,0.02,4e-04,0.12,0.0144,"Will there be more than ten times as many 'Violence against civilians' in Montenegro for the 30 days before 2025-07-21 compared to one plus the 30-day average of 'Violence against civilians' over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Violence against civilians'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Violence against civilians' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Violence against civilians' would need to occur in the 30 days leading up to the resolution.",10,8,10,0.402040382856092,"Typical","Borderline"
"4204aec5ff81b3d331f27141b072979d838ed95bcd0de36e887ca9a70523060a","2024-07-28","acled","Data",0,TRUE,0,0,0.25,0.0625,"Will there be more than ten times as many 'Protests' in China for the 30 days before 2024-07-28 compared to one plus the 30-day average of 'Protests' over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Protests'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Protests' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Protests' would need to occur in the 30 days leading up to the resolution.",10,7,10,0.282235418161749,"Typical","Borderline"
"4204aec5ff81b3d331f27141b072979d838ed95bcd0de36e887ca9a70523060a","2024-08-20","acled","Data",0,TRUE,0,0,0.24,0.0576,"Will there be more than ten times as many 'Protests' in China for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Protests' over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Protests'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Protests' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Protests' would need to occur in the 30 days leading up to the resolution.",9,7,10,0.282235418161749,"Typical","Borderline"
"4204aec5ff81b3d331f27141b072979d838ed95bcd0de36e887ca9a70523060a","2024-10-19","acled","Data",0,TRUE,0.002,4e-06,0.2,0.04,"Will there be more than ten times as many 'Protests' in China for the 30 days before 2024-10-19 compared to one plus the 30-day average of 'Protests' over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Protests'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Protests' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Protests' would need to occur in the 30 days leading up to the resolution.",9,7,10,0.282235418161749,"Typical","Borderline"
"4204aec5ff81b3d331f27141b072979d838ed95bcd0de36e887ca9a70523060a","2025-01-17","acled","Data",0,TRUE,0.01,1e-04,0.25,0.0625,"Will there be more than ten times as many 'Protests' in China for the 30 days before 2025-01-17 compared to one plus the 30-day average of 'Protests' over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Protests'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Protests' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Protests' would need to occur in the 30 days leading up to the resolution.",10,7,10,0.282235418161749,"Typical","Borderline"
"4204aec5ff81b3d331f27141b072979d838ed95bcd0de36e887ca9a70523060a","2025-07-21","acled","Data",0,TRUE,0.015,0.000225,0.3,0.09,"Will there be more than ten times as many 'Protests' in China for the 30 days before 2025-07-21 compared to one plus the 30-day average of 'Protests' over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Protests'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Protests' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Protests' would need to occur in the 30 days leading up to the resolution.",10,7,10,0.282235418161749,"Typical","Borderline"
"9043472375a02690dfb338bd3d11605105562e5cae9672a989961b0c5bef9b51","2024-07-28","acled","Data",0,TRUE,0.003,9e-06,0.2,0.04,"Will there be more than ten times as many 'Protests' in Bahrain for the 30 days before 2024-07-28 compared to one plus the 30-day average of 'Protests' over the 360 days preceding 2024-07-12?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Protests'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Protests' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Protests' would need to occur in the 30 days leading up to the resolution.",10,8,10,0.320997184099946,"Typical","Borderline"
